Aractip,Marka,Model,Arac Kayit Tip,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Total
MOTOSİKLET,AJS,MODENA,Kullanılmış,1,0,0,3,0,0,0,0,0,1,0,0,5
SALON ARAÇ,ALFA ROMEO,GIULIA,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
ESTATE,ALFA ROMEO,STELVIO,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
SALON ARAÇ,ALPINE,A 110 S COUPE,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
SALON ARAÇ,ASTON MARTIN,DBS SUPERLEGGERA 770 ULTIMTE,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
SALON ARAÇ,ASTON MARTIN,DB5,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
SALON ARAÇ,ASTON MARTIN,DB11 V8,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
ESTATE,AUDI,Q3,Kullanılmış,4,1,7,3,9,2,9,2,7,7,3,4,58
ESTATE,AUDI,Q2,Kullanılmış,15,10,9,8,7,5,11,3,11,6,6,6,97
SALON ARAÇ,AUDI,A3,Kullanılmış,16,9,16,7,12,15,12,14,20,16,13,12,162
ESTATE,AUDI,E-TRON,Kullanılmış,7,11,8,6,12,3,3,9,7,6,6,1,79
SALON ARAÇ,AUDI,A5,Kullanılmış,6,3,5,3,2,3,3,3,2,5,7,5,47
SALON ARAÇ,AUDI,A8,Kullanılmış,1,0,1,0,1,2,0,0,1,2,1,2,11
SALON ARAÇ,AUDI,S3,Kullanılmış,1,1,0,0,0,1,0,0,1,0,0,0,4
SALON ARAÇ,AUDI,A6,Kullanılmış,5,1,1,2,3,4,3,3,3,2,4,4,35
ESTATE,AUDI,Q8,Kullanılmış,2,2,2,0,2,2,5,3,3,2,7,4,34
ESTATE,AUDI,Q5,Kullanılmış,5,3,4,1,5,5,7,3,7,7,6,6,59
SALON ARAÇ,AUDI,A4,Kullanılmış,6,9,5,3,5,2,3,3,6,3,9,6,60
SALON ARAÇ,AUDI,A7,Kullanılmış,2,1,1,3,5,1,3,2,3,0,0,2,23
ESTATE,AUDI,Q7,Kullanılmış,2,3,1,0,1,0,2,4,1,0,1,2,17
SALON ARAÇ,AUDI,S 3,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,1,2
SALON ARAÇ,AUDI,A1,Kullanılmış,0,1,2,0,3,2,2,1,4,3,0,0,18
SALON ARAÇ,AUDI,SQ2,Kullanılmış,0,1,0,0,0,0,1,0,1,1,0,0,4
SALON ARAÇ,AUDI,TT,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,AUDI,S5,Kullanılmış,0,0,1,0,0,0,0,0,2,0,0,0,3
ESTATE,AUDI,RS Q8,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
ESTATE,AUDI,SQ8,Kullanılmış,0,0,0,0,1,0,0,1,0,0,0,0,2
SALON ARAÇ,AUDI,RS5,Kullanılmış,0,0,0,0,0,1,0,0,0,2,0,0,3
