Aractip,Marka,Model,Arac Kayit Tip,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Total,
ESTATE,FORD,CUSTOM,Yeni,0,0,1,0,0,0,0,1,0,0,0,0,2,
KAMYON,FORD,TRANSİT,Yeni,0,0,5,0,0,0,0,0,3,0,0,0,8,
KAMYONET,FORD,TRANSİT,Yeni,0,0,4,0,5,3,1,13,6,0,0,0,32,
KAMYONET,FORD,320 S,Yeni,0,0,0,0,1,0,0,0,0,1,2,0,4,
SALON ARAÇ,FORD,PUMA ST-LINE X,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
ESTATE,FORD,KUGA,Yeni,0,0,0,0,0,0,0,2,0,0,0,0,2,
ESTATE,FORD,300L TİT,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
PANELVAN,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,4,0,0,0,4,
SALON ARAÇ,FORD,ECOSPORT,Yeni,0,0,0,0,0,0,0,0,1,0,0,1,2,
OTOBÜS,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,5,0,0,0,5,
AMBULANS,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
ESTATE,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
PANELVAN,FORD,350L VAN ECOBLUE,Yeni,0,0,0,0,0,0,0,0,0,0,1,2,3,
PANELVAN,FORD,40S ECOBLUE UPGRADE ZIRH,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
PANELVAN,FORD,340L,Yeni,0,0,0,0,0,0,0,0,0,0,1,2,3,
MOTOSİKLET,GASGAS,EC300,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
MOTOSİKLET,HARLEY DAVIDSON,FAT BOY 114,Yeni,0,0,1,0,1,0,0,0,0,0,0,0,2,
MOTOSİKLET,HARLEY DAVIDSON,SPORTSTER S,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,HARLEY DAVIDSON,PAN AMERICA,Yeni,0,0,0,1,0,0,1,0,0,0,0,0,2,
MOTOSİKLET,HARLEY DAVIDSON,ROAD KING SPECIAL,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
MOTOSİKLET,HARLEY DAVIDSON,STREET TRIUM,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
TRAKTÖR,HATTAT,240S,Yeni,0,0,0,0,2,1,0,1,0,0,0,0,4,
TRAKTÖR,HATTAT,260 GOLD,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
TRAKTÖR,HATTAT,280 GOLD,Yeni,0,0,0,0,0,1,0,0,1,0,0,0,2,
TRAKTÖR,HATTAT,398 KAB,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
TRAKTÖR,HATTAT,T4110,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
KAZICI-YÜKLEYİCİ,HİDROMEK,HMK 102B,Yeni,0,0,0,0,0,0,0,0,0,0,1,1,2,
KAZICI-YÜKLEYİCİ,HMK,02BBACKHOE LOADER ALPH,Yeni,1,2,0,1,0,1,3,0,1,0,0,0,9,
KAZICI,HMK,HİDROMEK,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1,
KAZICI-YÜKLEYİCİ,HMK,EKSRAVATÖR 310LC-3 PALETL,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
ESTATE,HONDA,CR-V,Yeni,3,4,1,2,6,2,0,0,1,3,6,19,47,
ESTATE,HONDA,HR-V,Yeni,3,0,4,1,4,1,2,4,0,7,1,0,27,
MOTOSİKLET,HONDA,ACTIVA,Yeni,12,8,9,12,11,17,13,10,21,15,17,31,176,
SALON ARAÇ,HONDA,CIVIC,Yeni,3,3,5,6,4,3,0,0,0,0,0,0,24,
MOTOSİKLET,HONDA,NSC 110M,Yeni,2,0,0,3,1,1,2,0,1,0,19,0,29,
MOTOSİKLET,HONDA,LIVO,Yeni,0,1,0,0,0,1,0,0,0,0,0,1,3,
MOTOSİKLET,HONDA,NC750,Yeni,0,1,0,0,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,HONDA,C125AK,Yeni,0,1,1,0,2,0,1,0,4,0,0,1,10,
SALON ARAÇ,HONDA,JAZZ,Yeni,0,0,1,1,1,0,0,0,0,0,0,0,3,
MOTOSİKLET,HONDA,GRAZIA,Yeni,0,0,1,2,1,2,0,0,0,0,0,0,6,
MOTOSİKLET,HONDA,WW125AM,Yeni,0,0,0,2,0,0,1,1,2,0,0,0,6,
MOTOSİKLET,HONDA,GIORNO 50,Yeni,0,0,0,1,0,0,0,1,0,0,0,0,2,
MOTOSİKLET,HONDA,CB350RS,Yeni,0,0,0,0,0,2,0,0,0,0,0,0,2,
MOTOSİKLET,HONDA,TODAY,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
ESTATE,HONDA,VEZEL,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,HONDA,NSS250AN,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
MOTOSİKLET,HONDA,CB200XSTD,Yeni,0,0,0,0,0,0,1,0,0,1,0,0,2,
MOTOSİKLET,HONDA,DİO,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
SALON ARAÇ,HONDA,ACCORD,Yeni,0,0,0,0,0,0,0,1,3,0,0,1,5,
MOTOSİKLET,HONDA,NCS 110 M,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,HONDA,DIO STD,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
MOTOSİKLET,HONDA,CB300R,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
Motobisiklet,HONDA,TODAY 50,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
MOTOSİKLET,HUSQVARNA,NORDEN 901,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
SALON ARAÇ,HYUNDAI,İ10,Yeni,0,1,2,0,0,0,0,0,0,0,0,18,21,
SALON ARAÇ,HYUNDAI,İ20,Yeni,0,1,4,3,0,0,5,0,4,0,0,0,17,
SALON ARAÇ,HYUNDAI,1TQ,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1,
SALON ARAÇ,HYUNDAI,BAYON 8703,Yeni,0,0,0,0,0,0,3,0,4,0,0,0,7,
MOTOSİKLET,ITALJET,DRAGSTER 200,Yeni,0,0,1,0,0,1,0,0,0,1,0,0,3,
ESTATE,JAGUAR,F-PACE,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,JAWA,CLASSİC,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
KAZICI-YÜKLEYİCİ,JCB,3CX,Yeni,0,1,0,0,2,0,1,0,0,0,0,0,4,
ESTATE,JEEP,WRANGLER,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1,
MOTORLU TR (ATV),KANUNİ,200 OFF,Yeni,0,0,0,1,0,0,0,1,0,1,0,0,3,
MOTOSİKLET,KANUNİ,TRODON SX 50,Yeni,0,0,0,0,2,0,0,0,0,0,0,0,2,
MOTOSİKLET,KAWASAKI,MOTOSİKLET,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1,
ESTATE,KIA,SPORTAGE,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,KTM,250 EXC-F,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,KTM,890 ADV,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,KTM,390ADV,Yeni,0,0,0,0,2,2,1,0,1,0,0,0,6,
MOTOSİKLET,KTM,SUPER DUKEREVO,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,KTM,500 FXC-F,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTORLU TR (ATV),KUBA,HUSSAR 135,Yeni,0,0,0,3,0,1,0,0,2,1,0,0,7,
MOTORLU TR (ATV),KUBA,M564Lİ T3,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
MOTORLU TR (ATV),KUBA,VIP TRACK250 PRO,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
MOTORLU TR (ATV),KUBA,M564Lİ T3,Yeni,0,0,0,0,0,0,0,1,0,2,0,0,3,
MOTORLU TR (ATV),KUBA,MX 220 OFF ROAD,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
ESTATE,LAMBORGHINI,URUS,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
ESTATE,LAND ROVER,SPORT,Yeni,1,0,0,1,2,1,0,0,0,0,1,1,7,
ESTATE,LAND ROVER,DEFENDER,Yeni,0,1,2,1,0,0,0,1,0,0,0,2,7,
ESTATE,LAND ROVER,VELAR,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
ESTATE,LAND ROVER,DISCOVERY,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
ESTATE,LAND ROVER,RANGE ROVER,Yeni,0,0,0,0,0,3,0,2,0,0,2,0,7,
ESTATE,LAND ROVER,EVOQUE,Yeni,0,0,0,0,0,1,0,0,1,0,0,0,2,
ESTATE,LAND ROVER,AUTOBİOGRAPHY,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,MEGA,GALAXY,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,MEGA,TRON,Yeni,0,0,0,0,0,5,16,7,2,3,2,2,37,
ÇİFT KABİN,MERCEDES,X350 D,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1,
ESTATE,MERCEDES,V-SERİES,Yeni,2,0,0,0,0,0,0,0,0,0,2,0,4,
ESTATE,MERCEDES,VITO,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1,
SALON ARAÇ,MERCEDES,S-SERİES,Yeni,2,0,0,0,0,0,0,0,2,0,1,2,7,
OTOBÜS,MERCEDES,SPRİNTER,Yeni,0,1,0,0,0,0,0,0,0,1,0,0,2,
SALON ARAÇ,MERCEDES,MAYBACH S680,Yeni,0,1,0,0,0,0,0,0,0,0,0,0,1,
ESTATE,MERCEDES,G-SERİES,Yeni,0,5,0,0,0,0,0,0,0,3,0,0,8,
ESTATE,MERCEDES,GLS,Yeni,0,0,3,0,0,0,0,0,1,1,1,0,6,
ESTATE,MERCEDES,GLE,Yeni,0,0,10,0,0,0,0,0,1,0,2,5,18,
ESTATE,MERCEDES,GLC,Yeni,0,0,1,0,0,0,0,0,0,0,1,4,6,
ESTATE,MERCEDES,GLB,Yeni,0,0,0,1,0,0,0,0,0,0,1,0,2,
ESTATE,MERCEDES,GLA,Yeni,0,0,0,26,0,0,0,0,0,1,3,2,32,
SALON ARAÇ,MERCEDES,E-SERİES,Yeni,0,0,0,0,3,2,0,0,3,1,0,2,11,
SALON ARAÇ,MERCEDES,C-SERİES,Yeni,0,0,0,0,0,0,18,2,3,4,15,7,49,
SALON ARAÇ,MERCEDES,CLS,Yeni,0,0,0,0,0,0,0,1,0,0,1,0,2,
SALON ARAÇ,MERCEDES,CLA,Yeni,0,0,0,0,0,0,0,11,1,0,2,3,17,
SALON ARAÇ,MERCEDES,A-SERİES,Yeni,0,0,0,0,0,0,0,11,1,0,2,1,15,
SALON ARAÇ,MERCEDES,119 CDI,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
ESTATE,MERCEDES,G400 D,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
SALON ARAÇ,MINI,COOPER,Yeni,0,0,1,1,0,0,0,0,0,0,0,0,2,
ESTATE,MINI,COUNTRYMAN,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
ÇİFT KABİN,MİTSUBISHI,L200,Yeni,0,1,0,0,0,0,0,0,0,0,1,0,2,
SALON ARAÇ,MİTSUBISHI,ASX,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
ESTATE,MİTSUBISHI,OUTLANDER,Yeni,0,0,0,0,0,1,0,1,1,0,0,0,3,
MOTOSİKLET,MONDIAL,180Z ONE S,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
