Aractip,Marka,Model,Arac Kayit Tip,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Total,
MOTOSİKLET,TVS,NTORQ125 RACE,Yeni,0,1,0,3,0,1,6,5,0,2,0,0,18,
MOTOSİKLET,TVS,XL100HD,Yeni,0,0,0,2,3,1,1,3,2,0,0,0,12,
MOTOSİKLET,TVS,JUPITER,Yeni,0,0,0,0,0,0,6,3,1,2,2,4,18,
MOTOSİKLET,TVS,NTOR Q 125,Yeni,0,0,0,0,0,0,0,0,0,0,7,8,15,
MOTOSİKLET,TVS,NTORQ 125 RACE,Yeni,0,0,0,0,0,0,0,0,0,0,4,9,13,
MOTOSİKLET,TVS,NTORQ 125,Yeni,0,0,0,0,0,0,0,0,0,0,0,3,3,
MOTORLU TR (ATV),TWELVE,150 ATV,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,VESPA,VXL,Yeni,1,0,2,12,1,1,2,2,1,0,1,0,23,
MOTOSİKLET,VESPA,PRIMEVERA,Yeni,0,0,0,1,1,1,3,1,0,0,0,0,7,
MOTOSİKLET,VESPA,GTS300,Yeni,0,0,0,4,0,0,3,2,1,3,3,0,16,
MOTOSİKLET,VESPA,ZX- VXL- SXL,Yeni,0,0,0,0,1,0,0,0,0,0,0,1,2,
MOTOSİKLET,VESPA,ZX,Yeni,0,0,0,0,3,1,1,0,0,0,0,0,5,
MOTOSİKLET,VESPA,SEI GIORNI 300,Yeni,0,0,0,0,0,1,1,0,3,0,0,0,5,
MOTOSİKLET,VESPA,ZX125,Yeni,0,0,0,0,0,1,1,1,0,0,0,0,3,
MOTOSİKLET,VESPA,SXL 125,Yeni,0,0,0,0,0,0,0,1,2,4,1,3,11,
MOTOSİKLET,VESPA,PRIMAVERA 125,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,VESPA,VXL 125,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
MOTOSİKLET,VESPA,JUSTIN BIEBER 125,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
ESTATE,VOLKSWAGEN,T-ROC,Yeni,1,1,0,0,0,0,0,0,0,0,0,0,2,
ESTATE,VOLKSWAGEN,TIGUAN,Yeni,3,0,2,3,0,2,2,0,0,0,0,0,12,
SALON ARAÇ,VOLKSWAGEN,T-CROSS,Yeni,0,1,1,6,3,0,0,0,0,0,0,0,11,
ESTATE,VOLKSWAGEN,TOUAREG,Yeni,0,1,0,0,0,1,0,0,0,1,0,0,3,
SALON ARAÇ,VOLKSWAGEN,GOLF,Yeni,0,0,0,0,1,4,0,1,0,0,0,0,6,
SALON ARAÇ,VOLKSWAGEN,PASSAT,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
SALON ARAÇ,VOLKSWAGEN,ARTEON,Yeni,0,0,0,0,0,0,0,0,0,0,2,2,4,
MOTOSİKLET,VOLTA,REVOLT,Yeni,0,0,0,0,2,1,0,4,5,3,1,1,17,
MOTOSİKLET 3 TEKER,VOLTA,MOPED ARKASI TİPPER,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
MOTOSİKLET,YAMAHA,FACHINO,Yeni,1,0,0,0,0,0,0,0,1,0,0,1,3,
MOTOSİKLET,YAMAHA,CYGNUS ALPHA,Yeni,5,14,6,14,21,39,10,37,26,27,22,20,241,
MOTORLU TR (ATV),YAMAHA,YFM 700 DNSR ATV,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,YAMAHA,YZF R250,Yeni,0,1,0,1,0,0,0,0,0,0,0,0,2,
MOTOSİKLET,YAMAHA,T115FL SMX,Yeni,0,1,0,0,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,YAMAHA,MT07A,Yeni,0,0,1,1,0,0,0,0,0,0,0,0,2,
MOTOSİKLET,YAMAHA,FZ25,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,YAMAHA,NMAX 150,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
MOTOSİKLET,YAMAHA,MT 09,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
MOTOSİKLET,YAMAHA,YP400RA,Yeni,0,0,0,0,0,1,0,1,0,0,0,0,2,
Motobisiklet,YAMAHA,VINO,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,YAMAHA,YS125,Yeni,0,0,0,0,0,2,0,0,0,0,0,0,2,
MOTOSİKLET,YAMAHA,YP 400 X MAX,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
MOTOSİKLET,YAMAHA,N-MAX,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
MOTOSİKLET,YAMAHA,XTZ700 TENERE,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
MOTOSİKLET,YAMAHA,RAY-ZR,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
MOTOSİKLET,YAMAHA,CRYPTON T115FL,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
MOTOSİKLET,YAMAHA,NMAX125,Yeni,0,0,0,0,0,0,0,0,0,0,2,1,3,
MOTOSİKLET,YAMAHA,FZX,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
MOTORLU TR (ATV),YUKI,TRACT250,Yeni,0,2,1,1,2,2,1,0,0,0,0,0,9,
Motobisiklet,YUKI,LEGEND SCOOTER,Yeni,0,0,1,0,1,0,0,0,0,0,0,0,2,
Motobisiklet,YUKI,MOPED CASPER,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1,
MOTORLU TR (ATV),YUKI,TIREX,Yeni,0,0,2,1,1,0,1,3,0,0,0,0,8,
MOTOSİKLET,YUKI,EXPLONER 250,Yeni,0,0,1,0,0,0,0,1,0,0,0,0,2,
MOTOSİKLET,YUKI,TEKKEN,Yeni,0,0,1,1,0,0,0,0,0,0,0,0,2,
MOTOSİKLET,YUKI,LUPO,Yeni,0,0,0,2,0,0,0,0,0,0,0,0,2,
MOTOSİKLET,YUKI,MOJITO,Yeni,0,0,0,0,3,2,0,0,1,0,0,0,6,
MOTORLU TR (ATV),YUKI,TRACK 250,Yeni,0,0,0,0,0,1,0,1,0,0,0,0,2,
MOTOSİKLET,YUKI,MOPED CASPER-S,Yeni,0,0,0,0,0,2,0,0,0,0,0,0,2,
MOTOSİKLET,YUKI,JUMBO,Yeni,0,0,0,0,0,1,2,0,0,0,0,0,3,
MOTORLU TR (ATV),YUKI,TRACK,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,YUKI,WILLYS,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,YUKI,MOPED CASPER,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,YUKI,TRON,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
Motobisiklet,YUKI,MARGHERİTA,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
