Aractip,Marka,Model,Arac Kayit Tip,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Total
MOTORLU TR (ATV),-----,ATV,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
MOTOSİKLET,AJS,MODENA,Kullanılmış,0,0,0,0,0,0,0,0,0,0,2,1,3
SALON ARAÇ,ALFA ROMEO,GIULIA ESTREMA TB,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,ALFA ROMEO,GIULIETTA TECNICA,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
MOTOSİKLET,APRILIA,RX 125,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
MOTOSİKLET,APRILIA,SXR125,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
MOTOSİKLET,APRILIA,SR 125,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
SALON ARAÇ,ASTON MARTIN,DB11 V8,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
SALON ARAÇ,AUDI,A5,Kullanılmış,10,2,4,7,8,1,2,2,1,2,3,4,46
ESTATE,AUDI,Q5,Kullanılmış,9,2,1,1,3,3,2,5,4,6,5,4,45
SALON ARAÇ,AUDI,A4,Kullanılmış,10,6,4,9,7,2,5,3,1,2,3,4,56
ESTATE,AUDI,Q8,Kullanılmış,3,2,0,2,3,0,3,2,1,2,5,3,26
ESTATE,AUDI,Q3,Kullanılmış,7,2,4,3,1,0,4,3,4,3,9,1,41
SALON ARAÇ,AUDI,A3,Kullanılmış,16,13,6,10,14,7,10,7,13,12,15,6,129
SALON ARAÇ,AUDI,A6,Kullanılmış,7,4,3,4,4,3,2,2,5,2,6,2,44
SALON ARAÇ,AUDI,A1,Kullanılmış,4,3,2,5,3,2,1,2,5,5,1,4,37
ESTATE,AUDI,Q7,Kullanılmış,4,2,2,1,0,2,3,1,1,1,2,1,20
ESTATE,AUDI,Q2,Kullanılmış,7,5,7,4,4,7,5,16,10,9,14,10,98
ESTATE,AUDI,E-TRON,Kullanılmış,4,3,7,3,6,3,5,6,4,8,6,3,58
SALON ARAÇ,AUDI,TTS,Kullanılmış,1,0,0,0,0,0,0,0,0,0,1,0,2
SALON ARAÇ,AUDI,A8,Kullanılmış,2,0,0,0,2,1,1,3,0,1,2,0,12
SALON ARAÇ,AUDI,R8,Kullanılmış,1,0,0,0,0,0,1,1,0,0,0,0,3
ESTATE,AUDI,Q4 E-TRON,Kullanılmış,1,0,1,0,0,2,0,0,0,1,1,0,6
SALON ARAÇ,AUDI,A7,Kullanılmış,0,3,0,1,0,2,2,1,2,1,4,4,20
SALON ARAÇ,AUDI,RS5,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
ESTATE,AUDI,A6,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,AUDI,S4,Kullanılmış,0,0,1,1,0,0,0,0,0,0,0,0,2
SALON ARAÇ,AUDI,S7,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,AUDI,S5,Kullanılmış,0,0,0,1,0,1,0,0,0,0,1,0,3
SALON ARAÇ,AUDI,RS3,Kullanılmış,0,0,0,0,0,0,1,0,1,0,0,0,2
ESTATE,AUDI,Q4,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
SALON ARAÇ,AUDI,SLİNE,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
SALON ARAÇ,AUDI,S3,Kullanılmış,0,0,0,0,0,0,0,0,0,2,2,0,4
ESTATE,AUDI,Q 7,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
SALON ARAÇ,AUDI,RS7,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
ESTATE,AUDI,A4,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
SALON ARAÇ,AUSTIN,MINI MOKE,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
MOTOSİKLET,BENELLI,BN 125 E5,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
MOTOSİKLET,BENELLI,TRK 502 E4,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
MOTOSİKLET,BENELLI,IMPERIALE 400 E5,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
ESTATE,BENTLEY,BANTAYGA V8,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,BENTLEY,CONTINENTAL GT V8 COUPE,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,BENTLEY,CONTINENTAL GT SPEED COUPE,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,BENTLEY,CONTINENTAL GT V8,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
SALON ARAÇ,BENTLEY,FLYING V6,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
SALON ARAÇ,BENTLEY,FLYING SPUR,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
SALON ARAÇ,BENTLEY,CONTINENTAL GT SPEED,Kullanılmış,0,0,0,0,0,0,0,0,0,0,0,1,1
OTOBÜS,BMC,NIFTY OTOBUS,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
SALON ARAÇ,BMW,3-SERİES,Kullanılmış,15,13,8,16,11,14,15,12,9,16,16,11,156
SALON ARAÇ,BMW,XDRIVE 18D,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,BMW,5-SERİES,Kullanılmış,31,21,20,30,30,13,32,24,26,26,22,22,297
SALON ARAÇ,BMW,4-SERİES,Kullanılmış,13,17,9,9,9,14,7,7,12,8,10,6,121
ESTATE,BMW,X6,Kullanılmış,5,1,0,0,0,0,0,0,3,1,2,2,14
SALON ARAÇ,BMW,7-SERİES,Kullanılmış,1,1,1,0,0,0,1,2,0,1,3,3,13
ESTATE,BMW,X1,Kullanılmış,9,4,3,4,13,2,7,6,12,13,5,11,89
SALON ARAÇ,BMW,1-SERİES,Kullanılmış,8,5,7,3,5,10,3,10,13,9,8,15,96
SALON ARAÇ,BMW,X2,Kullanılmış,6,1,6,12,5,7,4,8,6,7,8,8,78
SALON ARAÇ,BMW,M5,Kullanılmış,1,1,0,0,0,1,0,0,0,1,1,0,5
SALON ARAÇ,BMW,İ3 RANGE EXTENDER HATCHBACK,Kullanılmış,3,2,6,10,7,3,9,8,12,14,8,11,93
SALON ARAÇ,BMW,8-SERİES,Kullanılmış,6,3,2,3,3,1,1,1,1,5,2,1,29
MOTOSİKLET,BMW,R NINET SCRAMBLER X,Kullanılmış,1,0,1,0,0,0,0,0,0,0,0,0,2
SALON ARAÇ,BMW,2-SERİES,Kullanılmış,1,6,6,4,3,3,5,5,5,0,0,4,42
ESTATE,BMW,X4,Kullanılmış,2,0,0,0,0,0,2,1,0,0,0,0,5
SALON ARAÇ,BMW,M8,Kullanılmış,1,1,0,0,0,0,0,0,0,0,0,1,3
ESTATE,BMW,X3,Kullanılmış,1,0,2,1,3,1,0,2,1,2,1,0,14
SALON ARAÇ,BMW,M4,Kullanılmış,1,1,0,1,2,1,0,2,1,0,2,0,11
ESTATE,BMW,X5,Kullanılmış,1,1,3,2,1,0,1,2,0,0,2,0,13
SALON ARAÇ,BMW,MINI,Kullanılmış,0,2,2,1,0,2,0,0,1,2,1,0,11
MOTOSİKLET,BMW,R 1250 GS ADVENTURE TE,Kullanılmış,0,1,1,1,0,0,1,1,0,0,0,1,6
MOTOSİKLET,BMW,C400,Kullanılmış,0,1,0,0,1,0,0,1,0,2,0,0,5
MOTOSİKLET,BMW,C650,Kullanılmış,0,1,0,0,0,0,1,0,0,0,0,0,2
SALON ARAÇ,BMW,13,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
MOTOSİKLET,BMW,S1000 XR,Kullanılmış,0,0,2,0,2,2,2,1,0,0,0,0,9
MOTOSİKLET,BMW,R 1200 GS ADVANTURE,Kullanılmış,0,0,1,0,0,0,0,0,1,0,0,0,2
MOTOSİKLET,BMW,F750,Kullanılmış,0,0,1,2,1,0,0,2,2,2,1,1,12
SALON ARAÇ,BMW,5 SERIES,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
SALON ARAÇ,BMW,640,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
ESTATE,BMW,X7,Kullanılmış,0,0,0,0,1,1,1,1,1,0,1,1,7
MOTOSİKLET,BMW,F900 XR,Kullanılmış,0,0,0,0,1,0,0,0,0,1,0,1,3
SALON ARAÇ,BMW,M6,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
SALON ARAÇ,BMW,I8 COUPE,Kullanılmış,0,0,0,0,0,1,1,1,0,0,0,0,3
ESTATE,BMW,İX XDRIVE40,Kullanılmış,0,0,0,0,0,1,0,1,0,0,2,2,6
SALON ARAÇ,BMW,730,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
SALON ARAÇ,BMW,M 850İ,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
SALON ARAÇ,BMW,M235İ,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
SALON ARAÇ,BMW,M3,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
SALON ARAÇ,BMW,6-SERİES,Kullanılmış,0,0,0,0,0,0,1,0,2,0,1,0,4
SALON ARAÇ,BMW,320,Kullanılmış,0,0,0,0,0,0,0,1,2,1,1,1,6
SALON ARAÇ,BMW,Z4 SDRIVE20I M SPORT,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
SALON ARAÇ,BMW,X 3,Kullanılmış,0,0,0,0,0,0,0,1,0,0,1,0,2
ESTATE,BMW,X 3,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
SALON ARAÇ,BMW,İ4 M40,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
ESTATE,BMW,İX3 M SPORT,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
SALON ARAÇ,BMW,120 D SE,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
MOTORLU TR (ATV),CAN-AM,OUTLANDER MAX,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
MOTORLU TR (ATV),CAN-AM,OUTLENDER,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
MOTORLU TR (ATV),CAN-AM,OUTLMAX XTP,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
MOTOSİKLET,CF MOTO,CF800-5,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
MOTOSİKLET,CF MOTO,400 NK,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
MOTORLU TR (ATV),CF MOTO,CFORCE 850XC,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
MOTORLU TR (ATV),CF MOTO,CFORCE1000,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
MOTORLU TR (ATV),CF MOTO,CFORCE 1000,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
MOTORLU TR (ATV),CF MOTO,CF600AU 3LF,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
MOTORLU KARAVAN,CHAUSSON,PRIVATE,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,CHEVROLET,CORVETTE,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,CHEVROLET,CAMARO COUPE,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
ESTATE,CHRYSLER,JEEP WRANGLER,Kullanılmış,0,0,0,1,0,0,2,0,1,0,1,1,6
ESTATE,CHRYSLER,C300,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
ESTATE,CHRYSLER,JEEP COMPASS,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
ESTATE,CHRYSLER,JEEP RENEGADE,Kullanılmış,0,0,0,0,0,0,1,1,3,0,0,1,6
ESTATE,CHRYSLER,JEEP GLADIATOR,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
KAMYONET,CITROEN,BERLINGO,Kullanılmış,2,1,0,0,0,0,0,2,0,0,0,0,5
SALON ARAÇ,CITROEN,C5,Kullanılmış,0,1,0,1,0,0,0,0,0,0,0,0,2
SALON ARAÇ,CITROEN,C4 CACTUS FLAIR,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
PANELVAN,CITROEN,BERLINGO,Kullanılmış,0,0,0,2,0,0,1,0,0,0,0,1,4
KAMYONET,CITROEN,NEMO,Kullanılmış,0,0,0,0,1,0,0,1,2,0,0,0,4
PANELVAN,CITROEN,NEMO,Kullanılmış,0,0,0,0,0,0,0,1,0,0,1,0,2
KAMYONET,CITROEN,DISPATCH 1200,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
PANELVAN,CITROEN,DISPATCH 1000,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
PANELVAN,CITROEN,RELAY 35 L3H2 ENTERPRISE HDI,Kullanılmış,0,0,0,0,0,0,0,0,0,0,0,1,1
TRAKTÖR,CLAAS,ARIAN 630C,Kullanılmış,0,0,0,0,0,0,0,0,0,0,0,1,1
SALON ARAÇ,DACIA,SANDERO STEPWAY SE SUMMIT DCI,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,DACIA,DUSTER COMFORT TCE HATCHBACK,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,DACIA,DUSTER TECHROAD TCE HATCHACK,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,DACIA,DUSTER,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
SALON ARAÇ,DACIA,DUSTER EXPRESSION TCE,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
KAMYON,DAF,DÜZ KASA,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,LORRY ARKASI KAPALI ASANSÖRLÜ,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,ÇEKİCİ,Kullanılmış,1,0,0,0,0,1,2,1,1,2,2,2,12
BİRLEŞTİRİLEN ARAÇ,DAF,TRUCKS ÇEKİCİ FTG CF -H440,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,CF 75.310 YANLIKLI,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,TRUCKS DÜZ KASA,Kullanılmış,1,1,0,0,0,0,0,0,0,0,0,0,2
KAMYON,DAF,TİPPER,Kullanılmış,0,1,0,0,1,0,0,0,0,0,0,0,2
KAMYON,DAF,TRUCKS KENDİNİ YÜKLEYİCİ YANLIKLI,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,TIR ÇEKİCİ,Kullanılmış,0,1,0,0,0,0,0,0,0,0,1,0,2
KAMYON,DAF,KAPALI KAMYON,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,TRUCKS BUZLUKLU,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,LF45-180 ARAÇ TAŞIYICI,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,TENTELİ KAPALI,Kullanılmış,0,0,1,0,0,1,0,0,0,0,0,0,2
KAMYON,DAF,BETON MİKSERİ,Kullanılmış,0,0,2,0,0,0,0,0,1,0,1,1,5
KAMYON AĞIR,DAF,DÜZ KASA YANLIKLI KASAP ARACI,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
KAMYON AĞIR,DAF,ARAÇ TAŞIYICI,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,X 510 ÇEKİCİ,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,DÜZ KASA KENDİNİ YÜKLEYİCİ,Kullanılmış,0,0,2,1,0,0,0,0,1,0,0,0,4
KAMYON,DAF,TIPPER KENDİNİ YÜKLEYİCİ,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
KAMYON,DAF,ARAÇ TAŞIYICI,Kullanılmış,0,0,1,0,0,0,0,1,1,0,0,0,3
KAMYON,DAF,BUZLUKLU,Kullanılmış,0,0,0,1,0,1,0,0,1,0,0,0,3
BİRLEŞTİRİLEN ARAÇ,DAF,FH 460 ÇEKİCİ,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
KAMYON,DAF,TRUCKS KAMYON KAPALI BOX LİFTLİ,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
KAMYON,DAF,FALF55.220 YÜKLEYİCİ AÇIK KASA,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
KAMYON,DAF,45 -160 TİPPER,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
KAMYON,DAF,TRUCKS ÇÖP KAMYONU,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYON,DAF,ÇÖP KONTEYNER TAŞIMA ARACI,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYON,DAF,ÇÖP KAMYONU,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYON,DAF,TRUCKS VİDANJÖR,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYON,DAF,CF75 PERDELİ,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYON,DAF,LF 45 KAPALI,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYON,DAF,SEPETLİ LİFLİ ASANSÖRLÜ,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
KAMYON,DAF,SU TANKERİ,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
KAMYON,DAF,YANLARI YANLIKLI,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,BİRLEŞTİRİLEN ÇEKİCİ,Kullanılmış,0,0,0,0,0,1,0,3,0,2,0,0,6
KAMYON,DAF,KAPALI TENTELİ,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
KAMYON,DAF,YANLIKLI KENDİNİ YÜKLEYİCİ,Kullanılmış,0,0,0,0,0,1,0,0,1,0,0,0,2
KAMYON,DAF,CONCRETE BETON MİKSERİ,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,BİRLEŞTİREN ÇEKİCİ ARAÇ,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,BİRLEŞTİRİLEN ARAÇ ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
KAMYON AĞIR,DAF,BETON MİKSERİ,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,ÇEKİCİ XF 460 EURO 6,Kullanılmış,0,0,0,0,0,0,1,1,0,0,0,0,2
KAMYON,DAF,FALF55 TİPPER,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
KAMYON,DAF,"TRACKS CF 75,310 VİRANJÖR",Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
KAMYON,DAF,CONCRTE BETON MİKSERİ,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
KAMYON,DAF,CF 75.250,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,TRUCKS,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
KAMYON AĞIR,DAF,TİPER KENDİNİ YÜKLEYİCİ,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,CF400 FT 4X2 ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
KAMYON,DAF,CF85 460KENDİNİ YÜKLEYİCİ DÜZ KA,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
KAMYON,DAF,SKIP KONTEYNER TAŞIMA ARACI,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
KAMYON,DAF,CF,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYON,DAF,KENDİNİ YÜKLEYİCİ YANLIKLI,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYON,DAF,ARKASI AÇIK KAFESLİ KASA,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYON,DAF,TRUCKS DÜZ KASA KAFESLİ,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYON,DAF,VİDANJÖR,Kullanılmış,0,0,0,0,0,0,0,0,1,0,3,0,4
KAMYON,DAF,75 CRANE KENDİNİ YÜKLEYİCİ,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYON,DAF,KENDİNİ YÜKLEYİCİ,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYON,DAF,CURTAIN SIDED KAPALI TENTELİ,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,TRACTOR TIR ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,EURO 6 ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,0,0,0,2,0,0,2
KAMYON,DAF,CF 75310 KENDİNİ YÜKLEYİCİ DÜZ KA,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,TRUCKS ARAÇ ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
KAMYON,DAF,SÜT TANKERİ,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,CF440 ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
KAMYON,DAF,DÜZ KASA ARAÇ TAŞIYICI,Kullanılmış,0,0,0,0,0,0,0,0,0,1,1,0,2
BİRLEŞTİRİLEN ARAÇ,DAF,TRUCK XF510,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,XF460 EURO 6,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
KAMYON,DAF,TRUCKS BETON MİKSERİ,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,ÇEKİCİ CF 440 EURO,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
KAMYON,DAF,TRUCKS LF65-220 KAPALI,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
KAMYON,DAF,TRUCKS LF180 KAPALI TENTELİ,Kullanılmış,0,0,0,0,0,0,0,0,0,0,2,0,2
KAMYON,DAF,ARKASI YANLIKLI KASA KENDİNİ YÜKL,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,XF 460 ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,XF 460 EORO 6,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
KAMYON,DAF,TRUCK TENTELİ KAMYON,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
BİRLEŞTİRİLEN ARAÇ,DAF,TRUCKS EURO V1 ÇEKİCİ,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
KAMYON,DAF,LF55 TİPPER,Kullanılmış,0,0,0,0,0,0,0,0,0,0,0,1,1
KAMYON,DAF,BUZLUKLU KAMYON,Kullanılmış,0,0,0,0,0,0,0,0,0,0,0,1,1
