Aractip,Marka,Model,Arac Kayit Tip,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Total
ROMÖRK,ALAMEN,ARAÇ TAŞIYICI,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1
TRAKTÖR,ARMATRAC,SERVET 85,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1
TRAKTÖR,ARMATRAC,512,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1
TRAKTÖR,ARMATRAC,804,Yeni,0,0,0,2,0,0,0,0,0,0,0,1,3
TRAKTÖR,ARMATRAC,504,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1
TRAKTÖR,ARMATRAC,1104,Yeni,0,0,0,1,0,0,1,0,0,1,1,0,4
TRAKTÖR,ARMATRAC,854,Yeni,0,0,0,0,0,1,1,0,1,0,0,0,3
TRAKTÖR,ARMATRAC,1054,Yeni,0,0,0,0,0,0,0,0,2,1,0,0,3
TRAKTÖR,ARMATRAC,KUDRET 105E,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1
TRAKTÖR,ARMATRAC,TRAKTÖR,Yeni,0,0,0,0,0,0,0,0,0,0,2,0,2
TRAKTÖR,ARMATRAC,1104 LÜKS W/KABİNLİ,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1
TRAKTÖR,ARMATRAC,KUDRET 105E 4WD KABİ,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1
SALON ARAÇ,BAIC,X25,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1
SALON ARAÇ,BMW,3-SERIES,Yeni,3,3,1,0,2,1,4,2,2,0,0,3,21
ESTATE,BMW,X5,Yeni,3,3,0,0,1,0,0,2,1,0,1,1,12
SALON ARAÇ,BMW,Z-SERİES,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1
ESTATE,BMW,X1,Yeni,8,6,5,0,2,5,17,3,3,4,1,3,57
ESTATE,BMW,X2,Yeni,3,1,5,0,1,1,4,2,3,1,0,0,21
