Aractip,Marka,Model,Arac Kayit Tip,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Total
SALON ARAÇ,ABARTH,595 TURISMO,Kullanılmış,1,0,0,1,0,0,0,0,0,0,0,1,3
SALON ARAÇ,ALFA ROMEO,GIULIA,Kullanılmış,1,1,0,0,0,0,0,0,0,0,0,0,2
SALON ARAÇ,ASTON MARTIN,DB11 V8 VOLANTE,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
ESTATE,AUDI,Q5,Kullanılmış,2,0,0,2,1,1,2,3,1,2,6,5,25
SALON ARAÇ,AUDI,A3,Kullanılmış,7,1,7,8,2,9,8,10,11,5,8,10,86
SALON ARAÇ,AUDI,A1,Kullanılmış,2,1,2,3,3,2,1,3,3,3,3,2,28
ESTATE,AUDI,Q2,Kullanılmış,1,2,2,3,1,4,1,4,7,4,8,4,41
SALON ARAÇ,AUDI,A7,Kullanılmış,1,1,1,1,2,2,0,0,3,1,2,2,16
SALON ARAÇ,AUDI,A5,Kullanılmış,1,4,1,3,2,2,2,4,6,4,5,2,36
SALON ARAÇ,AUDI,A8,Kullanılmış,1,1,0,0,0,0,0,0,3,0,0,0,5
SALON ARAÇ,AUDI,A4,Kullanılmış,0,1,5,3,2,4,2,2,1,2,6,5,33
ESTATE,AUDI,Q3,Kullanılmış,0,2,3,3,0,0,0,2,2,3,3,1,19
SALON ARAÇ,AUDI,A6,Kullanılmış,0,0,2,1,1,2,1,4,3,9,7,6,36
ESTATE,AUDI,RS 3 QUATTRO,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
ESTATE,AUDI,Q8,Kullanılmış,0,0,0,0,0,0,2,0,4,1,5,3,15
ESTATE,AUDI,Q7,Kullanılmış,0,0,0,0,0,0,0,2,1,1,1,3,8
ESTATE,AUDI,E-TRON,Kullanılmış,0,0,0,0,0,0,0,0,1,0,1,2,4
SALON ARAÇ,AUDI,TT,Kullanılmış,0,0,0,0,0,0,0,0,0,3,0,0,3
SALON ARAÇ,AUDI,S4,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
ESTATE,AUDI,SQ8,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
SALON ARAÇ,AUDI,S5,Kullanılmış,0,0,0,0,0,0,0,0,0,0,0,1,1
MOTOSİKLET,BENELLI,TORNADO NAKED T 125 E5,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
MOTOSİKLET,BENELLI,LEONCINO 500,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
MOTOSİKLET,BENELLI,752 S,Kullanılmış,0,0,0,0,0,0,0,0,0,0,0,1,1
SALON ARAÇ,BENTLEY,CONTINENTAL GT AUTO,Kullanılmış,0,1,0,0,0,0,0,0,0,0,0,1,2
SALON ARAÇ,BMW,1-SERİES,Kullanılmış,3,6,8,9,11,6,8,12,6,6,6,7,88
SALON ARAÇ,BMW,5-SERİES,Kullanılmış,7,9,3,11,10,13,7,20,14,16,21,25,156
SALON ARAÇ,BMW,4-SERİES,Kullanılmış,1,0,3,5,2,5,11,3,4,8,10,16,68
SALON ARAÇ,BMW,2-SERİES,Kullanılmış,1,2,0,2,0,1,1,0,1,3,3,5,19
SALON ARAÇ,BMW,3-SERİES,Kullanılmış,2,5,2,5,2,7,3,6,6,4,11,14,67
ESTATE,BMW,X1,Kullanılmış,3,5,1,3,2,4,3,3,13,5,9,6,57
SALON ARAÇ,BMW,8-SERİES,Kullanılmış,1,0,1,0,1,0,0,1,2,1,2,1,10
ESTATE,BMW,X4,Kullanılmış,1,0,1,0,0,0,0,0,0,0,2,1,5
ESTATE,BMW,X5,Kullanılmış,0,1,0,1,1,0,2,1,1,0,5,4,16
SALON ARAÇ,BMW,İ3,Kullanılmış,0,0,2,1,1,0,1,1,0,1,1,2,10
MOTOSİKLET,BMW,G 310 R,Kullanılmış,0,0,1,0,0,0,0,0,0,0,1,0,2
ESTATE,BMW,X2,Kullanılmış,0,0,1,0,1,2,1,2,1,1,3,4,16
SALON ARAÇ,BMW,6-SERİES,Kullanılmış,0,0,1,0,0,0,0,0,0,2,0,0,3
SALON ARAÇ,BMW,M-SERİES,Kullanılmış,0,0,0,1,0,1,0,0,0,0,0,0,2
SALON ARAÇ,BMW,7-SERİES,Kullanılmış,0,0,0,1,1,0,1,0,0,1,2,2,8
ESTATE,BMW,X3,Kullanılmış,0,0,0,0,1,2,1,2,1,2,4,0,13
SALON ARAÇ,BMW,MİNİ,Kullanılmış,0,0,0,0,0,1,0,0,0,1,0,0,2
ESTATE,BMW,X6,Kullanılmış,0,0,0,0,0,1,2,1,0,1,1,2,8
MOTOSİKLET,BMW,F 750 GS,Kullanılmış,0,0,0,0,0,1,0,0,0,0,0,0,1
MOTOSİKLET,BMW,R1200,Kullanılmış,0,0,0,0,0,0,1,1,1,0,0,0,3
MOTOSİKLET,BMW,S1000R,Kullanılmış,0,0,0,0,0,0,1,0,0,0,1,0,2
MOTOSİKLET,BMW,C 400 X SE,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
