Aractip,Marka,Model,Arac Kayit Tip,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Total
MOTOSİKLET,AJS,MODENA,Kullanılmış,1,0,0,3,0,0,0,0,0,1,0,0,5
MOTOSİKLET,AJS,MODENA,Yeni,1,1,3,6,13,7,1,0,4,3,5,0,44
SALON ARAÇ,ALFA ROMEO,GIULIA,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
ESTATE,ALFA ROMEO,STELVIO,Kullanılmış,0,0,0,0,0,0,1,0,0,0,0,0,1
SALON ARAÇ,ALPINE,A 110 S COUPE,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
MOTOSİKLET,APRİLİA,SR GT SPORT 200 ABS,Yeni,2,0,0,0,0,0,0,0,0,0,0,0,2
MOTOSİKLET,APRİLİA,TUAREG 660,Yeni,0,1,0,0,0,0,0,0,0,0,0,0,1
MOTOSİKLET,APRİLİA,SXR 160,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1
MOTOSİKLET,APRİLİA,RS 660,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1
TRAKTÖR,ARMATRAC,1054E+W/KABİNLİ RADYOLU,Yeni,1,0,0,1,0,0,0,1,0,0,0,0,3
TRAKTÖR,ARMATRAC,854E W/KABİNLİ,Yeni,0,1,0,0,0,0,0,0,0,0,0,0,1
TRAKTÖR,ARMATRAC,614 T2 MEYVECİ,Yeni,0,1,0,0,2,0,0,0,0,0,0,0,3
TRAKTÖR,ARMATRAC,1104 LUX KABİNLİ KLİMALI,Yeni,0,0,1,0,0,1,0,0,0,0,0,0,2
TRAKTÖR,ARMATRAC,612 T2 MEYVECİ,Yeni,0,0,1,0,1,0,0,0,1,0,0,0,3
TRAKTÖR,ARMATRAC,752E TARIMSAL TRAKTÖR,Yeni,0,0,0,0,2,0,0,0,0,0,0,0,2
TRAKTÖR,ARMATRAC,854E+KABİNLİ,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1
TRAKTÖR,ARMATRAC,1104 AD LUX KABİNLİ KLİMALI,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1
TRAKTÖR,ARMATRAC,1104 LUX W/KABİNLİ RADYOLU,Yeni,0,0,0,0,0,0,1,0,1,0,0,0,2
TRAKTÖR,ARMATRAC,704E W/KABİNLİ,Yeni,0,0,0,0,0,0,1,0,0,3,0,0,4
TRAKTÖR,ARMATRAC,58E,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1
TRAKTÖR,ARMATRAC,T2 614 MEYVECİ,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1
